datetime,volume,close,low,high,open,MA10,MA20
11/10/2020,138023390,115.97,114.13,117.59,115.55,,
11/11/2020,112294954,119.49,116.44,119.63,117.19,,
11/12/2020,103350674,119.21,118.57,120.53,119.62,,
11/13/2020,81688586,119.26,117.87,119.6717,119.44,,
11/16/2020,91183018,120.3,118.146,120.99,118.92,,
11/17/2020,74270973,119.39,118.96,120.6741,119.55,,
11/18/2020,76322111,118.03,118.0,119.82,118.61,,
11/19/2020,74112972,118.64,116.81,119.06,117.59,,
11/20/2020,73604287,117.34,117.29,118.77,118.64,,
11/23/2020,127959318,113.85,113.75,117.6202,117.18,118.148,
11/24/2020,113874218,115.17,112.59,115.85,113.91,118.06800000000001,
11/25/2020,76499234,116.03,115.17,116.75,115.55,117.72200000000001,
11/27/2020,46691331,116.59,116.22,117.49,116.57,117.46,
11/30/2020,169410180,119.05,116.81,120.97,116.97,117.439,
12/01/2020,128166803,122.72,120.01,123.4693,121.01,117.681,
12/02/2020,89004195,123.08,120.89,123.37,122.02,118.05,
12/03/2020,78967630,122.94,122.21,123.78,123.52,118.54099999999998,
12/04/2020,78260421,122.25,121.52,122.8608,122.6,118.902,
12/07/2020,86711990,123.75,122.25,124.57,122.31,119.54299999999998,
12/08/2020,82225512,124.38,123.09,124.98,124.37,120.596,119.372
12/09/2020,115089193,121.78,121.0,125.95,124.53,121.25699999999999,119.6625
12/10/2020,81312170,123.24,120.15,123.87,120.5,121.978,119.85
12/11/2020,86939786,122.41,120.55,122.76,122.43,122.55999999999999,120.00999999999999
12/14/2020,79075988,121.78,121.54,123.35,122.6,122.833,120.13600000000001
12/15/2020,157572260,127.88,124.13,127.9,124.34,123.349,120.51500000000001
12/16/2020,98208591,127.81,126.56,128.37,127.41,123.822,120.936
12/17/2020,94359811,128.7,128.045,129.58,128.9,124.398,121.4695
12/18/2020,192541500,126.655,126.12,129.1,128.96,124.8385,121.87025000000001
12/21/2020,121251553,128.23,123.449,128.31,125.02,125.2865,122.41475
12/22/2020,169351830,131.88,129.65,134.405,131.61,126.03649999999998,123.31625
12/23/2020,88223692,130.96,130.78,132.43,132.16,126.95449999999998,124.10574999999999
12/24/2020,54930064,131.97,131.1,133.46,131.32,127.82749999999999,124.90275000000001
12/28/2020,124486237,136.69,133.51,137.34,133.99,129.2555,125.90775
12/29/2020,121047324,134.87,134.3409,138.789,138.05,130.5645,126.69874999999999
12/30/2020,96452124,133.72,133.4,135.99,135.58,131.14849999999998,127.24875
12/31/2020,99116586,132.69,131.72,134.74,134.08,131.6365,127.72925000000001
01/04/2021,143301890,129.41,126.76,133.6116,133.52,131.7075,128.05275
01/05/2021,97664898,131.01,128.43,131.74,128.89,132.143,128.49075
01/06/2021,155087970,126.6,126.382,131.0499,127.72,131.98,128.63325
01/07/2021,109578157,130.92,127.86,131.63,128.36,131.88400000000001,128.96025
01/08/2021,105158245,132.05,130.23,132.63,132.43,131.993,129.47375000000002
01/11/2021,100620880,128.98,128.5,130.17,129.19,131.69400000000002,129.76074999999997
01/12/2021,91951145,128.8,126.86,129.69,128.5,130.905,130.08025
01/13/2021,88636831,130.89,128.49,131.45,128.76,130.507,130.53574999999998
01/14/2021,90221755,128.91,128.76,131.0,130.8,130.026,130.58725
01/15/2021,111598531,127.14,127.0,130.2242,128.78,129.471,130.55374999999998
01/19/2021,90757329,127.83,126.938,128.71,127.78,129.313,130.51024999999998
01/20/2021,104319489,132.03,128.55,132.49,128.66,129.415,130.779
01/21/2021,120529544,136.87,133.59,139.67,133.8,130.442,131.211
01/22/2021,114459360,139.07,135.02,139.85,136.28,131.257,131.57049999999998
01/25/2021,157611710,142.92,136.54,145.09,143.07,132.344,132.1685
01/26/2021,98390555,143.16,141.37,144.3,143.6,133.762,132.728
01/27/2021,140843760,142.06,140.41,144.3,143.43,135.08800000000002,132.9965
01/28/2021,142621130,137.09,136.7,141.99,139.52,135.708,133.1075
01/29/2021,177523810,131.96,130.21,136.74,135.83,136.013,133.0195
02/01/2021,106239823,134.14,130.93,135.38,133.75,136.713,133.092
02/02/2021,83305367,134.99,134.61,136.31,135.73,137.429,133.371
02/03/2021,89880937,133.94,133.61,135.77,135.76,137.62,133.51749999999998
02/04/2021,84183061,137.39,134.59,137.4,136.3,137.67199999999997,134.057
02/05/2021,75693830,136.76,135.86,137.42,137.35,137.44099999999997,134.349
02/08/2021,71297214,136.91,134.92,136.96,136.03,136.83999999999997,134.592
02/09/2021,76774213,136.01,135.85,137.877,136.62,136.125,134.94350000000003
02/10/2021,73046563,135.39,134.4,136.99,136.48,135.45800000000003,135.273
02/11/2021,64280029,135.13,133.77,136.39,135.9,135.262,135.485
02/12/2021,60145130,135.37,133.6921,135.53,134.35,135.603,135.808
02/16/2021,80576316,133.19,132.79,136.01,135.49,135.50799999999998,136.1105
02/17/2021,98085249,130.84,129.47,132.22,131.25,135.09300000000002,136.261
02/18/2021,96856748,129.71,127.41,129.995,129.2,134.67000000000002,136.14499999999998
02/19/2021,87668834,129.87,128.8,130.71,130.24,133.91799999999998,135.79500000000002
02/22/2021,103916419,126.0,125.6,129.72,128.01,132.842,135.1415
02/23/2021,158273020,125.86,118.39,126.71,123.76,131.73700000000002,134.2885
02/24/2021,111039904,125.35,122.23,125.56,124.94,130.671,133.39799999999997
02/25/2021,148199540,120.99,120.54,126.4585,124.68,129.231,132.34449999999998
02/26/2021,164560390,121.26,121.2,124.85,122.59,127.84400000000001,131.553
03/01/2021,116307892,127.79,122.79,127.93,123.75,127.08599999999998,131.3445
03/02/2021,102260945,125.12,125.01,128.72,128.41,126.27900000000002,130.8935
03/03/2021,112966340,122.06,121.84,125.71,124.81,125.401,130.247
03/04/2021,178154980,120.13,118.62,123.6,121.75,124.44299999999998,129.5565
03/05/2021,153766600,121.42,117.57,121.935,120.98,123.598,128.758
