datetime,volume,close,low,high,open,MA10,MA20
11/10/2020,30284224,410.36,396.0301,420.09,420.09,,
11/11/2020,17357722,417.13,410.58,418.695,416.45,,
11/12/2020,19940500,411.76,409.52,423.0,415.05,,
11/13/2020,19830351,408.5,401.66,412.5319,410.85,,
11/16/2020,26838635,408.09,404.0868,412.45,408.93,,
11/17/2020,61188281,441.61,433.01,462.0,460.17,,
11/18/2020,78044024,486.64,443.5001,496.0,448.35,,
11/19/2020,62475346,499.27,487.57,508.6112,492.0,,
11/20/2020,32911922,489.61,489.06,502.5,497.99,,
11/23/2020,50260304,521.85,501.79,526.0,503.5,449.48199999999997,
11/24/2020,53648494,555.38,526.2,559.99,540.4,463.98400000000004,
11/25/2020,48930162,574.0,545.37,574.0,550.06,479.671,
11/27/2020,37561078,585.76,578.45,598.78,581.16,497.071,
11/30/2020,63003052,567.6,554.51,607.8,602.21,512.981,
12/01/2020,40382832,584.76,572.05,597.85,597.59,530.648,
12/02/2020,47775653,568.82,541.21,571.54,556.44,543.3689999999999,
12/03/2020,42552003,593.38,582.43,598.97,590.02,554.043,
12/04/2020,29401314,599.04,585.5,599.04,591.01,564.02,
12/07/2020,56309709,641.76,603.05,648.7856,604.9197,579.235,
12/08/2020,64265029,649.88,618.5,651.28,625.505,592.038,520.76
12/09/2020,71291190,604.48,588.0,654.32,653.69,596.948,530.466
12/10/2020,67083153,627.07,566.34,627.75,574.37,602.2549999999999,540.963
12/11/2020,46474974,609.99,596.8,624.0,615.01,604.6780000000001,550.8745
12/14/2020,52040649,639.83,610.2001,642.7499,619.0,611.9010000000001,562.441
12/15/2020,45223559,633.25,623.8,646.9,643.28,616.75,573.699
12/16/2020,42095813,622.77,605.0,632.5,628.23,622.145,582.757
12/17/2020,56270144,655.9,619.5,658.82,628.19,628.397,591.22
12/18/2020,222126190,695.0,628.54,695.0,668.9,637.993,601.0065
12/21/2020,58045264,649.86,646.07,668.5,666.24,638.803,609.019
12/22/2020,51861644,640.34,614.23,649.88,648.0,637.8489999999999,614.9435000000001
12/23/2020,33172972,645.98,622.5701,651.4999,632.2,641.999,619.4735
12/24/2020,22865568,661.77,641.0,666.09,642.99,645.469,623.862
12/28/2020,32278561,663.69,660.8,681.4,674.51,650.8389999999999,627.7585000000001
12/29/2020,22910811,665.99,655.0,669.9,661.0,653.455,632.6780000000001
12/30/2020,42846021,694.78,668.3603,696.6,672.0,659.608,638.179
12/31/2020,49649928,705.67,691.12,718.72,699.99,667.898,645.0215000000001
01/04/2021,48638189,729.77,717.1895,744.4899,719.46,675.285,651.841
01/05/2021,32245165,735.11,719.2,740.84,723.66,679.296,658.6445000000001
01/06/2021,44699965,755.98,749.1,774.0,758.49,689.908,664.3555
01/07/2021,51498948,816.04,775.2,816.99,777.63,707.478,672.6634999999999
01/08/2021,75055528,880.02,838.39,884.49,856.0,730.882,686.4404999999999
01/11/2021,59554146,811.19,803.6222,854.43,849.4,745.824,695.6465000000001
01/12/2021,46270720,849.44,827.34,868.0,831.0,764.399,707.619
01/13/2021,33312496,854.41,832.0,860.47,852.76,783.241,718.3480000000001
01/14/2021,31266327,845.0,838.75,863.0,843.39,798.263,728.9355
01/15/2021,38777596,826.16,819.1,859.9,852.0,810.312,739.105
01/19/2021,25366980,844.55,833.0,850.0,837.8,821.79,748.5375
01/20/2021,25665883,850.45,837.28,859.5,858.74,833.324,756.3100000000001
01/21/2021,20598133,844.99,841.4201,855.7199,855.0,842.225,766.0665
01/22/2021,20066497,846.64,828.62,848.0,834.31,845.2850000000001,776.3815
01/25/2021,41173397,880.8,838.8201,900.4,855.0,845.3629999999999,788.1225000000001
01/26/2021,23131603,883.09,871.6,895.9,891.38,852.5530000000001,799.1885
01/27/2021,27333955,864.16,858.66,891.5,870.35,854.025,809.2120000000001
01/28/2021,26378048,835.43,801.0,848.0,820.0,852.1270000000001,817.684
01/29/2021,34990754,793.53,780.1,842.41,830.0003,846.9799999999999,822.6215
02/01/2021,25391385,839.81,795.5601,842.0,814.29,848.345,829.3285
02/02/2021,24346213,872.79,842.2006,880.5,844.68,851.1689999999999,836.4795
02/03/2021,18343510,854.69,853.0646,878.08,877.02,851.5930000000001,842.4585
02/04/2021,15812661,849.99,833.42,856.5,855.0,852.0930000000001,847.159
02/05/2021,18566637,852.23,838.97,864.77,845.0,852.652,848.9685
02/08/2021,20161719,863.42,854.75,877.77,869.67,850.914,848.1385
02/09/2021,15157651,849.46,841.75,859.8,855.12,847.551,850.052
02/10/2021,36216090,804.82,800.02,844.82,843.635,841.617,847.8209999999999
02/11/2021,21622753,811.66,801.725,829.8799,812.44,839.24,845.6834999999999
02/12/2021,23768313,816.12,785.3306,817.33,801.26,841.499,844.2395
02/16/2021,19802324,796.22,792.44,821.0,818.0,837.14,842.7425
02/17/2021,26078898,798.15,762.01,799.84,779.09,829.676,840.4225
02/18/2021,17957058,787.38,776.27,794.69,780.9,822.9449999999999,837.269
02/19/2021,18958255,781.3,777.37,796.7899,795.0,816.076,834.0844999999999
02/22/2021,37269716,714.5,710.2,768.5,762.64,802.3030000000001,827.4775
02/23/2021,66606882,698.84,619.0,713.6099,662.13,785.845,818.3794999999999
02/24/2021,36766950,742.02,694.17,745.0,711.85,775.101,811.326
02/25/2021,39023855,682.22,670.58,737.2066,726.15,762.8410000000001,802.229
02/26/2021,41089173,675.5,659.51,706.7,700.0,749.225,794.2325000000001
03/01/2021,27136239,718.43,685.05,872.0,690.11,739.4559999999999,790.4775
03/02/2021,23732158,686.44,685.0,721.11,718.28,728.4780000000001,782.809
03/03/2021,30207960,653.2,651.705,700.7,687.99,713.983,771.8295
03/04/2021,65919530,621.44,600.0,873.94,655.8,697.3889999999999,760.167
03/05/2021,89396459,597.95,539.49,627.8419,626.06,679.0540000000001,747.5649999999999
03/08/2021,51786958,563.0,558.79,620.125,600.55,663.9040000000001,733.1034999999999
03/09/2021,67523328,673.58,595.21,678.09,608.18,661.378,723.6115
03/10/2021,60605672,668.06,655.06,717.85,700.3,653.982,714.5415
03/11/2021,36253892,699.6,677.18,702.5,699.4,655.72,709.2805
03/12/2021,33583840,693.73,666.1394,694.88,670.0,657.543,703.384
03/15/2021,29423479,707.94,684.04,713.18,694.09,656.494,697.975
03/16/2021,32195672,676.88,671.0,707.92,703.35,655.538,692.008
03/17/2021,40372453,701.81,651.01,703.73,656.87,660.399,687.191
03/18/2021,33369022,653.16,652.0,689.23,684.29,663.5709999999999,680.48
03/19/2021,42893978,654.87,624.6201,657.23,646.6,669.263,674.1585
03/22/2021,39512221,670.0,668.75,699.62,684.59,679.963,671.9335000000001
