datetime,volume,close,low,high,open,MA10,MA20,Log returns,HVSD30,HV
12/01/2020,74504969,366.02,364.93,367.68,365.57,,,,,
12/02/2020,45927000,366.79,364.2,366.96,364.82,,,0.0021015004800139527,,
12/03/2020,62881998,366.69,365.5,368.19,366.68,,,-0.0002726727398691255,,
12/04/2020,50749859,369.85,367.22,369.85,367.32,,,0.008580713576595629,,
12/07/2020,48944269,369.09,367.72,369.62,369.02,,,-0.002057001293689531,,
12/08/2020,42458859,370.17,367.67,370.78,367.72,,,0.0029218428383649938,,
12/09/2020,74098312,366.85,365.95,371.05,370.88,,,-0.009009314418548763,,
12/10/2020,57735353,366.73,364.43,367.86,365.37,,,-0.00032716268456164227,,
12/11/2020,57698614,366.3,363.26,366.7402,364.9,,,-0.001173212690672941,,
12/14/2020,69216174,364.66,364.47,369.8,368.64,367.315,,-0.004487257173710145,,
12/15/2020,64071099,369.59,365.92,369.59,367.4,367.672,,0.013428870513386542,,
12/16/2020,58420517,370.17,368.8676,371.16,369.82,368.01000000000005,,0.0015680764541070966,,
12/17/2020,64119472,372.24,371.05,372.46,371.94,368.565,,0.005576447957841016,,
12/18/2020,136542328,369.18,367.02,371.15,370.97,368.498,,-0.008254477555939183,,
12/21/2020,96386745,367.86,362.03,378.46,364.97,368.375,,-0.0035818989778023023,,
12/22/2020,48388462,367.24,366.03,368.3317,368.21,368.082,,-0.001686845727152299,,
12/23/2020,46201402,367.57,367.2172,369.62,368.28,368.154,,0.0008981914295819009,,
12/24/2020,26457853,369.0,367.45,369.03,368.08,368.381,,0.003882867335445986,,
12/28/2020,39000402,372.17,371.07,372.59,371.74,368.96799999999996,,0.00855409509214667,,
12/29/2020,53680451,371.46,370.83,374.0,373.81,369.648,368.4815,-0.001909552373478187,,
12/30/2020,49455259,371.99,371.57,373.1,372.34,369.88800000000003,368.78000000000003,0.001425785432200793,,
12/31/2020,78520702,373.88,371.232,374.66,371.78,370.25899999999996,369.1345,0.005067918122986148,,
01/04/2021,110210810,368.79,364.82,375.45,375.31,369.914,369.2395,-0.013707513967023294,,
01/05/2021,66426229,371.33,368.05,372.5,368.1,370.129,369.3135,0.0068637787707874496,,
01/06/2021,107997675,373.55,369.12,376.98,369.71,370.698,369.53650000000005,0.005960709303663396,,
01/07/2021,68766812,379.1,375.91,379.9,376.1,371.88399999999996,369.98300000000006,0.014748158100478918,,
