,symbol
0,AAPL
2,ADI
3,ASGN
4,ADP
10,AQUA
20,ALRM
31,ASML
91,ATHM
92,AZPN
110,CHKP
119,CMBM
127,CRM
141,CSPI
152,DQ
154,DT
167,DOV
169,EBIX
178,EPAM
192,DSGX
194,EGAN
198,DGII
217,FTNT
234,FDS
238,ESSC
240,GOOG
241,GLUU
260,JBL
262,INFY
268,IVAC
276,INTU
285,HHR
292,HMI
293,HSTM
295,INOV
298,INTC
299,HUYA
300,LSCC
307,MGIC
316,JKHY
342,MANH
343,KFRC
357,NTCT
360,MPWR
386,MSFT
391,MSI
392,MTCH
393,MSP
395,MGRC
398,NICE
407,PNR
408,PCTY
412,ORCL
421,PLAB
423,PLUS
429,PLXS
435,ON
439,NVDA
441,PCYG
445,OSS
448,PRFT
460,QADA
462,QADB
463,SANM
472,QRVO
484,QLYS
505,SLP
516,SNPS
519,SPNS
520,SPSC
523,SHOP
530,SNX
531,SIMO
533,SQ
536,SMCI
555,STM
577,TTD
592,SWKS
593,SWCH
599,TTWO
604,VEEV
612,WDC
628,VRSK
632,WIT
633,WIMI
635,TXN
643,TYL
652,ZDGE
