open,high,low,close,volume,datetime
363.97,364.38,354.06,354.56,172304203,2020-11-09 06:00:00
353.49,355.18,350.51,354.04,85552022,2020-11-10 06:00:00
356.4,357.56,355.06,356.67,58649048,2020-11-11 06:00:00
355.58,356.7182,351.26,353.21,68118563,2020-11-12 06:00:00
355.27,358.9,354.71,358.1,62959429,2020-11-13 06:00:00
360.98,362.78,359.59,362.57,74541138,2020-11-16 06:00:00
359.97,361.92,358.34,360.62,66111009,2020-11-17 06:00:00
360.91,361.5,356.24,356.28,70591299,2020-11-18 06:00:00
355.6,358.18,354.15,357.78,59940947,2020-11-19 06:00:00
357.5,357.72,355.25,355.33,70411890,2020-11-20 06:00:00
357.28,358.82,354.865,357.46,63230608,2020-11-23 06:00:00
360.21,363.81,359.29,363.22,62415877,2020-11-24 06:00:00
363.13,363.16,361.48,362.66,45330890,2020-11-25 06:00:00
363.84,364.18,362.58,363.67,28514072,2020-11-27 06:00:00
362.83,363.12,359.17,362.06,83872709,2020-11-30 06:00:00
365.57,367.68,364.93,366.02,74504969,2020-12-01 06:00:00
364.82,366.96,364.2,366.79,45927000,2020-12-02 06:00:00
366.68,368.19,365.5,366.69,62881998,2020-12-03 06:00:00
367.32,369.85,367.22,369.85,50749859,2020-12-04 06:00:00
369.02,369.62,367.72,369.09,48944269,2020-12-07 06:00:00
367.72,370.78,367.67,370.17,42458859,2020-12-08 06:00:00
370.88,371.05,365.95,366.85,74098312,2020-12-09 06:00:00
365.37,367.86,364.43,366.73,57735353,2020-12-10 06:00:00
364.9,366.7402,363.26,366.3,57698614,2020-12-11 06:00:00
368.64,369.8,364.47,364.66,69216174,2020-12-14 06:00:00
367.4,369.59,365.92,369.59,64071099,2020-12-15 06:00:00
369.82,371.16,368.8676,370.17,58420517,2020-12-16 06:00:00
371.94,372.46,371.05,372.24,64119472,2020-12-17 06:00:00
370.97,371.15,367.02,369.18,136542328,2020-12-18 06:00:00
364.97,378.46,362.03,367.86,96386745,2020-12-21 06:00:00
368.21,368.3317,366.03,367.24,48388462,2020-12-22 06:00:00
368.28,369.62,367.2172,367.57,46201402,2020-12-23 06:00:00
368.08,369.03,367.45,369.0,26457853,2020-12-24 06:00:00
371.74,372.59,371.07,372.17,39000402,2020-12-28 06:00:00
373.81,374.0,370.83,371.46,53680451,2020-12-29 06:00:00
372.34,373.1,371.57,371.99,49455259,2020-12-30 06:00:00
371.78,374.66,371.232,373.88,78520702,2020-12-31 06:00:00
375.31,375.45,364.82,368.79,110210810,2021-01-04 06:00:00
368.1,372.5,368.05,371.33,66426229,2021-01-05 06:00:00
369.71,376.98,369.12,373.55,107997675,2021-01-06 06:00:00
376.1,379.9,375.91,379.1,68766812,2021-01-07 06:00:00
380.59,381.49,377.1,381.26,71677208,2021-01-08 06:00:00
377.85,380.58,377.7189,378.69,51176719,2021-01-11 06:00:00
378.89,379.86,376.36,378.77,52547716,2021-01-12 06:00:00
378.69,380.86,377.85,379.79,45303619,2021-01-13 06:00:00
380.59,381.13,378.1,378.46,49989113,2021-01-14 06:00:00
376.72,377.58,373.7,375.7,107159962,2021-01-15 06:00:00
378.34,379.23,376.75,378.65,51233300,2021-01-19 06:00:00
381.11,384.79,380.69,383.89,61836062,2021-01-20 06:00:00
384.49,384.95,383.25,384.24,47955809,2021-01-21 06:00:00
382.25,384.1256,381.835,382.88,52136931,2021-01-22 06:00:00
383.67,384.77,378.46,384.39,70401971,2021-01-25 06:00:00
385.41,385.85,383.54,383.79,42665281,2021-01-26 06:00:00
380.22,380.32,372.01,374.41,123351078,2021-01-27 06:00:00
376.36,381.93,375.89,377.63,94198104,2021-01-28 06:00:00
375.63,376.67,368.27,370.07,126765121,2021-01-29 06:00:00
373.72,377.34,370.376,376.23,75817597,2021-02-01 06:00:00
379.65,383.22,376.3181,381.55,64450662,2021-02-02 06:00:00
382.435,383.7,380.48,381.85,52427090,2021-02-03 06:00:00
382.96,386.24,381.9655,386.19,47142555,2021-02-04 06:00:00
388.2,388.47,386.1444,387.71,48669773,2021-02-05 06:00:00
389.27,390.56,388.35,390.51,38365185,2021-02-08 06:00:00
389.61,390.89,389.17,390.25,35551059,2021-02-09 06:00:00
392.12,392.28,387.5,390.08,59154370,2021-02-10 06:00:00
391.24,391.69,388.1,390.71,42913288,2021-02-11 06:00:00
389.85,392.9,389.77,392.64,50593270,2021-02-12 06:00:00
393.96,394.17,391.53,392.3,50972366,2021-02-16 06:00:00
390.42,392.66,389.33,392.39,52806681,2021-02-17 06:00:00
389.59,391.515,387.74,390.72,59712773,2021-02-18 06:00:00
392.07,392.38,389.55,390.03,83240971,2021-02-19 06:00:00
387.06,389.62,386.74,387.03,67414170,2021-02-22 06:00:00
384.66,388.945,380.2,387.5,107284127,2021-02-23 06:00:00
386.33,392.23,385.27,391.77,72433946,2021-02-24 06:00:00
390.41,391.88,380.7789,382.33,146670499,2021-02-25 06:00:00
384.35,385.58,378.23,380.36,152701639,2021-02-26 06:00:00
385.59,390.92,380.572,389.58,105348798,2021-03-01 06:00:00
389.82,390.07,386.0,386.54,79595332,2021-03-02 06:00:00
385.79,386.83,381.31,381.42,119940211,2021-03-03 06:00:00
381.22,384.0,371.88,376.7,183433020,2021-03-04 06:00:00
380.46,384.76,372.64,383.63,152039624,2021-03-05 06:00:00
384.66,387.68,381.42,381.72,123149245,2021-03-08 06:00:00
385.85,389.91,381.7299,387.17,113633556,2021-03-09 06:00:00
389.69,391.4,388.1702,389.58,109899410,2021-03-10 06:00:00
392.23,395.65,391.74,393.53,86245040,2021-03-11 06:00:00
392.07,394.21,391.2,394.06,64653565,2021-03-12 06:00:00
394.33,396.685,392.03,396.41,73592302,2021-03-15 05:00:00
397.07,397.83,395.08,395.91,73722506,2021-03-16 05:00:00
394.53,398.12,393.3,397.26,97959265,2021-03-17 05:00:00
394.475,396.72,390.75,391.48,115349101,2021-03-18 05:00:00
389.88,391.569,387.15,389.48,113624490,2021-03-19 05:00:00
390.03,394.07,389.97,392.59,73778646,2021-03-22 05:00:00
391.91,393.46,388.66,389.5,90686552,2021-03-23 05:00:00
391.0,392.75,387.47,387.52,97588644,2021-03-24 05:00:00
385.98,390.55,383.9,389.7,116128622,2021-03-25 05:00:00
390.93,396.41,390.29,395.98,114409114,2021-03-26 05:00:00
