Symbol,Company Name,Industry,Market Cap
A,Agilent Technologies,Life Sciences Tools &amp; Services,52.40B
AA,Alcoa,Metals &amp; Mining,9.11B
AAC,Ares Acquisition,Shell Companies,1.22B
AACG,ATA Creativity Global,Diversified Consumer Services,77.35M
AADI,Aadi Bioscience,Biotechnology,677.04M
AAIC,Arlington Asset Investment,"Mortgage Real Estate Investment 
Trus...",122.05M
AAL,American Airlines,Airlines,13.67B
AAMC,Altisource Asset Management,Real Estate Management &amp; Development,50.38M
AAME,Atlantic American,Insurance,79.60M
AAN,The Aaron's Company,Specialty Retail,898.50M
AAOI,Applied Optoelectronics,Communications Equipment,193.25M
AAON,"AAON, Inc.",Building Products,3.55B
AAP,Advance Auto Parts,Specialty Retail,13.50B
AAPL,Apple,"Technology Hardware, Storage &amp; Periph...","2,428.19B"
AAQC,Accelerate Acquisition,Shell Companies,484.50M
AAT,American Assets Trust,"Equity Real Estate 
Investment Trusts...",2.36B
AATC,Autoscope Technologies,Scientific &amp; Technical Instruments,41.33M
AAU,Almaden Minerals,Metals &amp; Mining,57.09M
AAWW,Atlas Air Worldwide Holdings,Air Freight &amp; Logistics,2.15B
AB,AllianceBernstein,Capital Markets,5.18B
ABB,ABB Ltd.,Electrical Equipment,70.61B
ABBV,AbbVie,Biotechnology,188.05B
ABC,AmerisourceBergen,Health Care Providers &amp; Services,25.37B
ABCB,Ameris Bancorp,Banks,3.46B
ABCL,AbCellera Biologics,Biotechnology,5.95B
ABCM,Abcam PLC,Biotechnology,4.74B
ABEO,Abeona Therapeutics,Biotechnology,122.48M
ABEV,Ambev,Beverages,46.93B
ABG,Asbury Automotive Group,Specialty Retail,3.59B
ABGI,ABG Acquisition I,Shell Companies,186.95M
ABIO,ARCA biopharma,Biotechnology,43.45M
ABM,ABM Industries,Commercial Services &amp; Supplies,3.05B
ABMD,Abiomed,Health Care Equipment &amp; Supplies,15.84B
ABNB,Airbnb,"Hotels, Restaurants &amp; Leisure",109.46B
ABOS,Acumen Pharmaceuticals,Biotechnology,623.07M
ABR,Arbor Realty Trust,"Mortgage Real Estate Investment 
Trus...",2.59B
ABSI,Absci,Biotechnology,1.04B
ABST,Absolute Software,Software-Application,573.47M
ABT,Abbott Laboratories,Health Care Equipment &amp; Supplies,220.98B
ABTX,Allegiance Bancshares,Banks,721.47M
ABUS,Arbutus Biopharma,Biotechnology,440.28M
ABVC,ABVC BioPharma,Biotechnology,65.10M
AC,Associated Capital Group,Capital Markets,1.48B
ACA,Arcosa,Construction &amp; Engineering,2.38B
ACAD,ACADIA Pharmaceuticals,Biotechnology,2.79B
ACAH,Atlantic Coastal Acquisition,Shell Companies,418.31M
ACB,Aurora Cannabis,Pharmaceuticals,1.19B
ACBA,Ace Global Business Acquisition,Shell Companies,53.06M
ACBI,Atlantic Capital Bancshares,Banks,470.22M
ACC,American Campus Communities,"Equity Real Estate 
Investment Trusts...",7.02B
ACCD,Accolade,Health Care Technology,2.89B
ACCO,ACCO Brands,Commercial Services &amp; Supplies,846.00M
ACEL,Accel Entertainment,"Hotels, Restaurants &amp; Leisure",1.15B
ACER,Acer Therapeutics,Pharmaceuticals,36.06M
ACET,Adicet Bio,Health Care Providers &amp; Services,225.44M
ACEV,ACE Convergence Acquisition,Shell Companies,284.62M
ACGL,Arch Capital Group,Insurance,15.45B
ACH,Aluminum Corporation of China,Metals &amp; Mining,23.63B
ACHC,Acadia Healthcare Company,Health Care Providers &amp; Services,5.89B
ACHL,Achilles Therapeutics,Biotechnology,239.56M
ACHR,Archer Aviation,Aerospace &amp; Defense,2.53B
ACHV,Achieve Life Sciences,Biotechnology,82.23M
ACI,Albertsons Companies,Grocery Stores,14.12B
ACII,Atlas Crest Investment II,Shell Companies,417.53M
ACIU,AC Immune,Biotechnology,486.05M
ACIW,ACI Worldwide,Software,3.70B
ACKIT,Ackrell SPAC Partners I,Shell Companies,144.11M
ACLS,Axcelis Technologies,Semiconductors &amp; Semiconductor Equipment,1.65B
ACM,Aecom,Construction &amp; Engineering,9.03B
ACMR,ACM Research,Semiconductors &amp; Semiconductor Equipment,2.02B
ACN,Accenture,IT Services,212.22B
ACNB,ACNB Corporation,Banks,240.80M
ACOR,Acorda Therapeutics,Biotechnology,48.50M
ACQR,Independence Holdings,Shell Companies,605.45M
ACR,ACRES Commercial Realty,"Mortgage Real Estate Investment 
Trus...",148.61M
ACRE,Ares Commercial Real Estate,"Mortgage Real Estate Investment 
Trus...",731.58M
ACRO,Acropolis Infrastructure Acquisition,Shell Companies,366.00M
ACRS,Aclaris Therapeutics,Pharmaceuticals,1.06B
ACRX,AcelRx Pharmaceuticals,Pharmaceuticals,122.85M
ACST,Acasti Pharma,Pharmaceuticals,93.89M
ACT,Enact Holdings,Insurance-Specialty,3.55B
ACTD,Arclight Clean Transition II,Shell Companies,378.65M
ACTG,Acacia Research,Professional Services,354.69M
ACU,Acme United,Commercial Services &amp; Supplies,122.09M
ACVA,ACV Auctions,Software-Application,2.85B
ACXP,Acurx Pharmaceuticals,Biotechnology,48.32M
ACY,AeroCentury,Trading Companies &amp; Distributors,82.44M
ADAG,Adagene,Biotechnology,623.77M
ADAP,Adaptimmune Therapeutics,Biotechnology,897.51M
ADBE,Adobe,Software,300.58B
ADC,Agree Realty,"Equity Real Estate 
Investment Trusts...",4.77B
ADCT,ADC Therapeutics SA,Communications Equipment,2.30B
ADER,26 Capital Acquisition,Shell Companies,333.78M
ADES,Advanced Emissions Solutions,Chemicals,118.40M
ADEX,Adit EdTech Acquisition,Shell Companies,135.94M
ADF,Aldel Financial,Shell Companies,131.54M
ADGI,Adagio Therapeutics,Biotechnology,5.07B
ADI,Analog Devices,Semiconductors &amp; Semiconductor Equipment,93.43B
ADIL,Adial Pharmaceuticals,Pharmaceuticals,89.77M
ADM,Archer Daniels Midland,Food Products,33.89B
ADMA,ADMA Biologics,Biotechnology,164.63M
ADMP,Adamis Pharmaceuticals,Pharmaceuticals,154.84M
ADMS,Adamas Pharmaceuticals,Biotechnology,219.09M
ADN,Advent Technologies,Utilities-Renewable,443.09M
ADNT,Adient,Auto Components,3.48B
ADOC,Edoc Acquisition,Shell Companies,119.46M
ADP,Automatic Data Processing,IT Services,83.90B
ADPT,Adaptive Biotechnologies,Life Sciences Tools &amp; Services,5.46B
ADRA,Adara Acquisition,n/a,112.47M
ADS,Alliance Data Systems,IT Services,4.74B
ADSK,Autodesk,Software,64.26B
ADT,ADT Inc.,Commercial Services &amp; Supplies,6.67B
ADTN,"ADTRAN, Inc.",Communications Equipment,941.13M
ADTX,Aditx Therapeutics,Biotechnology,36.30M
ADUS,Addus HomeCare,Health Care Providers &amp; Services,1.34B
ADV,Advantage Solutions,Advertising Agencies,2.71B
ADVM,Adverum Biotechnologies,Biotechnology,220.78M
ADXN,Addex Therapeutics,Biotechnology,55.16M
ADXS,Advaxis,Biotechnology,74.28M
AE,Adams Resources &amp; Energy,"Oil, Gas &amp; Consumable Fuels",129.00M
AEAC,Authentic Equity Acquisition,Shell Companies,290.70M
AEE,Ameren,Multi-Utilities,21.58B
AEG,Aegon,Insurance,9.63B
AEHL,Antelope Enterprise Holdings,Building Products &amp; Equipment,16.91M
AEHR,Aehr Test Systems,Semiconductors &amp; Semiconductor Equipment,285.19M
AEI,Alset Ehome International,Real Estate-Development,99.55M
AEIS,Advanced Energy Industries,Semiconductors &amp; Semiconductor Equipment,3.36B
AEL,American Equity Investment Life,Insurance,2.56B
AEM,Agnico Eagle Mines,Metals &amp; Mining,12.80B
AEMD,Aethlon Medical,Health Care Equipment &amp; Supplies,62.70M
AENZ,Aenza,Engineering &amp; Construction,287.73M
AEO,American Eagle Outfitters,Specialty Retail,4.50B
AEP,American Electric Power,Electric Utilities,41.58B
AER,AerCap Holdings,Trading Companies &amp; Distributors,7.34B
AERI,Aerie Pharmaceuticals,Pharmaceuticals,563.02M
AES,AES Corporation,Independent Power and Renewable Elect...,15.77B
AESE,Allied Esports Entertainment,"Hotels, Restaurants &amp; Leisure",67.72M
AEVA,Aeva Technologies,Auto Parts,1.82B
AEY,ADDvantage Technologies Group,"Electronic Equipment, Instruments &amp; C...",30.40M
AEYE,AudioEye,Software,128.86M
AEZS,AEterna Zentaris,Biotechnology,74.31M
AFAQ,AF Acquisition,Shell Companies,271.88M
AFBI,Affinity Bancshares,Banks,97.56M
AFCG,AFC Gamma,REIT-Specialty,374.24M
AFG,American Financial Group,Insurance,11.14B
AFI,Armstrong Flooring,Building Products,68.53M
AFIB,Acutus Medical,Medical Devices,267.96M
AFIN,American Finance Trust,"Equity Real Estate 
Investment Trusts...",980.26M
AFL,Aflac,Insurance,34.80B
AFMD,Affimed N.V.,Biotechnology,759.10M
AFRM,Affirm Holdings,IT Services,32.87B
