open,high,low,close,volume,datetime
146.0,165.0,141.25,144.71,70447537,2020-12-10 06:00:00
146.55,151.5,135.1,139.25,26980830,2020-12-11 06:00:00
135.0,135.3,125.1601,130.0,16966089,2020-12-14 06:00:00
126.69,127.6,121.5,124.8,10914432,2020-12-15 06:00:00
125.83,142.0,124.91,137.99,20409551,2020-12-16 06:00:00
143.0,152.4499,142.67,147.05,15054725,2020-12-17 06:00:00
150.4497,159.0,150.3,157.3,15954235,2020-12-18 06:00:00
155.31,172.0,145.11,163.02,17788120,2020-12-21 06:00:00
170.0,174.97,161.05,163.19,9886633,2020-12-22 06:00:00
162.8137,168.25,155.5,158.01,5852486,2020-12-23 06:00:00
159.16,162.79,154.1124,154.84,3621360,2020-12-24 06:00:00
158.6,163.64,147.52,149.0,6229179,2020-12-28 06:00:00
150.0,151.6511,143.12,150.0,5402266,2020-12-29 06:00:00
151.34,152.813,145.6,148.43,3462445,2020-12-30 06:00:00
146.9,147.89,144.51,146.8,2795813,2020-12-31 06:00:00
150.99,151.005,137.0,139.15,6409884,2021-01-04 06:00:00
138.28,149.0,137.25,148.3,5974246,2021-01-05 06:00:00
145.75,148.35,141.11,142.77,4213936,2021-01-06 06:00:00
146.37,154.42,145.2614,151.27,4482769,2021-01-07 06:00:00
153.45,155.54,147.2501,149.77,4615625,2021-01-08 06:00:00
147.99,150.5,144.02,148.13,2801867,2021-01-11 06:00:00
148.08,163.88,143.61,160.8,8145892,2021-01-12 06:00:00
160.81,178.6199,159.35,169.99,12529711,2021-01-13 06:00:00
175.54,187.42,174.9754,180.5,9926539,2021-01-14 06:00:00
184.58,185.995,164.8601,169.27,8575682,2021-01-15 06:00:00
173.0,178.6,166.6001,173.69,4685415,2021-01-19 06:00:00
176.01,176.31,161.0,161.83,8517416,2021-01-20 06:00:00
164.99,183.47,155.33,180.4,17618431,2021-01-21 06:00:00
178.09,185.3066,175.19,181.87,7136811,2021-01-22 06:00:00
186.05,192.47,170.03,177.53,7472859,2021-01-25 06:00:00
180.0,193.0,177.3,192.74,6460904,2021-01-26 06:00:00
187.64,216.0,185.5,201.25,11019787,2021-01-27 06:00:00
202.6,212.84,187.05,187.37,7077661,2021-01-28 06:00:00
190.71,193.4999,179.31,183.63,4529815,2021-01-29 06:00:00
187.4803,188.82,179.74,180.44,3877389,2021-02-01 06:00:00
183.22,186.4794,177.11,179.17,4413624,2021-02-02 06:00:00
181.98,190.9,180.0,185.72,4168965,2021-02-03 06:00:00
187.07,195.99,186.19,195.8,3637039,2021-02-04 06:00:00
197.0,197.25,190.2501,195.31,2869659,2021-02-05 06:00:00
199.93,201.96,191.5001,200.43,3492593,2021-02-08 06:00:00
199.2033,209.22,196.16,199.88,4725841,2021-02-09 06:00:00
205.48,214.7163,202.097,211.66,5257239,2021-02-10 06:00:00
213.5,219.94,207.0,216.84,3595183,2021-02-11 06:00:00
214.4578,216.94,209.0,212.68,3041744,2021-02-12 06:00:00
216.24,218.78,209.09,209.86,3487929,2021-02-16 06:00:00
207.05,208.765,196.02,201.96,4090619,2021-02-17 06:00:00
199.01,200.36,192.17,198.04,2791419,2021-02-18 06:00:00
203.95,205.55,200.18,201.07,2605751,2021-02-19 06:00:00
200.7,205.0,193.5,195.34,3674223,2021-02-22 06:00:00
189.0,191.67,175.0,187.59,5902404,2021-02-23 06:00:00
190.98,208.145,189.0,200.2,5983538,2021-02-24 06:00:00
197.41,199.8,180.0,182.06,11568492,2021-02-25 06:00:00
194.18,214.1,185.75,206.35,19368608,2021-02-26 06:00:00
195.82,199.69,192.62,196.42,15798527,2021-03-01 06:00:00
195.63,200.0,188.5,189.9,9144947,2021-03-02 06:00:00
186.97,188.48,178.8001,180.4,10592934,2021-03-03 06:00:00
178.64,183.8999,170.87,180.23,9993671,2021-03-04 06:00:00
182.52,183.5,161.9,179.81,8788544,2021-03-05 06:00:00
179.9924,186.4,177.0301,180.81,4988473,2021-03-08 06:00:00
184.99,189.46,180.72,183.11,6079925,2021-03-09 06:00:00
184.57,191.0,181.55,183.79,6145645,2021-03-10 06:00:00
189.9,201.0,188.5,197.87,6031244,2021-03-11 06:00:00
196.27,208.7,192.2,206.74,5556463,2021-03-12 06:00:00
209.5384,213.7399,203.8101,209.99,4337470,2021-03-15 05:00:00
209.11,215.49,198.18,200.01,4605572,2021-03-16 05:00:00
195.63,203.46,194.44,201.36,3781866,2021-03-17 05:00:00
196.8,199.8999,190.68,191.45,3729507,2021-03-18 05:00:00
193.01,196.49,187.81,194.39,4444583,2021-03-19 05:00:00
196.85,203.3,194.71,195.0,3740448,2021-03-22 05:00:00
195.5,196.7496,185.7401,187.14,3460590,2021-03-23 05:00:00
189.0,189.78,178.51,178.85,3756097,2021-03-24 05:00:00
173.1,179.54,170.5,176.16,5264100,2021-03-25 05:00:00
178.4161,181.0,168.0,174.4,3562912,2021-03-26 05:00:00
175.36,185.46,173.5,182.5,4508821,2021-03-29 05:00:00
182.35,185.23,178.38,183.1,2903262,2021-03-30 05:00:00
185.43,192.275,185.1301,187.94,3079510,2021-03-31 05:00:00
192.5,193.99,185.37,188.24,2921447,2021-04-01 05:00:00
191.66,192.1,185.81,186.69,2591425,2021-04-05 05:00:00
188.7,194.48,187.52,190.03,3565634,2021-04-06 05:00:00
189.38,190.62,179.47,179.94,6663462,2021-04-07 05:00:00
181.6479,183.9,179.3,180.18,2625274,2021-04-08 05:00:00
179.62,182.46,177.25,179.5,2910167,2021-04-09 05:00:00
179.68,181.49,176.25,176.49,2619833,2021-04-12 05:00:00
175.265,178.61,172.14,177.95,3573584,2021-04-13 05:00:00
179.5,181.4665,175.31,176.43,2938566,2021-04-14 05:00:00
177.0,178.24,174.25,175.35,2894865,2021-04-15 05:00:00
176.0119,179.51,172.94,178.69,3058294,2021-04-16 05:00:00
177.32,178.72,171.5,174.58,3125736,2021-04-19 05:00:00
173.1838,175.0,165.52,169.57,4574999,2021-04-20 05:00:00
168.09,170.32,164.12,167.07,3878608,2021-04-21 05:00:00
168.49,176.92,168.43,170.71,3856499,2021-04-22 05:00:00
172.9192,178.25,172.0,174.25,3335128,2021-04-23 05:00:00
175.21,176.0305,171.07,174.88,2549403,2021-04-26 05:00:00
176.1653,179.61,174.8,177.94,2882972,2021-04-27 05:00:00
174.4371,181.67,173.351,180.0,2409708,2021-04-28 05:00:00
182.75,183.22,173.35,177.68,3116021,2021-04-29 05:00:00
173.0035,176.45,172.01,172.71,3579957,2021-04-30 05:00:00
173.19,173.44,167.8,168.11,3149738,2021-05-03 05:00:00
167.0154,169.04,161.96,168.9,4658011,2021-05-04 05:00:00
169.3,170.18,162.12,162.33,3590067,2021-05-05 05:00:00
161.91,162.105,150.7,153.64,8528976,2021-05-06 05:00:00
156.5,157.0543,148.78,151.21,7133990,2021-05-07 05:00:00
150.2839,150.5,144.52,146.73,5827152,2021-05-10 05:00:00
139.1,144.35,136.01,142.73,8257386,2021-05-11 05:00:00
140.9,144.77,138.75,140.25,5307514,2021-05-12 05:00:00
142.25,142.3286,131.28,135.75,13005365,2021-05-13 05:00:00
137.68,142.25,131.67,141.2,20325381,2021-05-14 05:00:00
137.1562,137.79,130.2532,132.5,39755015,2021-05-17 05:00:00
134.0,138.4,131.49,135.02,18555649,2021-05-18 05:00:00
129.95,138.38,129.71,138.19,15565537,2021-05-19 05:00:00
138.8386,138.89,135.65,136.2,8903573,2021-05-20 05:00:00
136.55,137.17,132.88,134.71,10056483,2021-05-21 05:00:00
135.5,137.98,134.39,135.91,8543614,2021-05-24 05:00:00
137.4,137.85,133.56,133.99,10435842,2021-05-25 05:00:00
134.94,135.76,133.7208,134.75,8179216,2021-05-26 05:00:00
135.07,143.82,134.5,143.17,21270189,2021-05-27 05:00:00
144.76,145.0,140.25,140.4,12000561,2021-05-28 05:00:00
143.89,146.0889,141.59,144.31,16552092,2021-06-01 05:00:00
145.35,152.7,144.4,151.0,16245118,2021-06-02 05:00:00
149.55,151.12,143.8,144.19,11083344,2021-06-03 05:00:00
145.83,151.57,145.0,150.73,8534867,2021-06-04 05:00:00
150.96,150.96,146.4,148.97,7780222,2021-06-07 05:00:00
150.6,150.75,145.8,147.01,7125810,2021-06-08 05:00:00
148.57,149.36,144.46,144.85,5606457,2021-06-09 05:00:00
142.15,147.45,141.04,146.12,9482482,2021-06-10 05:00:00
145.87,148.95,145.2001,148.44,4819914,2021-06-11 05:00:00
149.25,149.6,146.85,149.21,6107480,2021-06-14 05:00:00
149.2,153.74,148.84,151.78,12007681,2021-06-15 05:00:00
150.95,152.35,146.92,149.15,9632778,2021-06-16 05:00:00
148.99,152.29,148.6116,150.7,8171295,2021-06-17 05:00:00
150.38,154.8,149.4,152.52,11628917,2021-06-18 05:00:00
152.52,152.61,145.83,149.7,8040208,2021-06-21 05:00:00
149.75,151.6468,148.4,149.68,5790390,2021-06-22 05:00:00
149.76,154.59,147.8,151.58,9335718,2021-06-23 05:00:00
152.67,153.6272,149.86,150.73,8173384,2021-06-24 05:00:00
151.23,153.17,149.28,149.67,6452449,2021-06-25 05:00:00
148.615,150.93,147.08,149.94,6450955,2021-06-28 05:00:00
149.75,149.94,145.77,146.08,7478999,2021-06-29 05:00:00
145.545,154.09,144.245,153.14,9798633,2021-06-30 05:00:00
154.5,157.41,151.41,153.08,9793859,2021-07-01 05:00:00
153.31,154.95,149.56,150.23,4844712,2021-07-02 05:00:00
150.08,152.8,147.8101,148.37,5069422,2021-07-06 05:00:00
148.15,148.94,143.6,143.72,5650921,2021-07-07 05:00:00
140.43,143.73,139.53,142.53,4827157,2021-07-08 05:00:00
143.3,150.26,143.3,149.64,7065139,2021-07-09 05:00:00
148.99,150.42,146.01,146.69,3276273,2021-07-12 05:00:00
147.695,147.695,143.0,143.41,5871457,2021-07-13 05:00:00
143.86,144.2,139.04,139.09,8545476,2021-07-14 05:00:00
139.18,140.52,136.54,137.5,6576068,2021-07-15 05:00:00
139.69,139.7899,133.51,134.31,6094631,2021-07-16 05:00:00
131.36,133.77,130.31,131.88,7215671,2021-07-19 05:00:00
132.75,137.435,131.7,136.09,6274608,2021-07-20 05:00:00
136.71,140.15,135.725,139.25,5269631,2021-07-21 05:00:00
141.2898,141.2898,137.66,139.47,4628360,2021-07-22 05:00:00
139.8,140.0,137.41,138.73,2811110,2021-07-23 05:00:00
139.13,142.19,137.2,142.0,6489516,2021-07-26 05:00:00
141.255,142.52,138.31,141.58,5113147,2021-07-27 05:00:00
141.31,143.73,141.03,143.3,4466785,2021-07-28 05:00:00
143.6464,145.0,141.71,143.47,5005450,2021-07-29 05:00:00
141.75,144.69,141.74,144.01,4167130,2021-07-30 05:00:00
143.85,146.27,143.4,145.49,4522437,2021-08-02 05:00:00
147.7284,147.79,143.2801,145.65,5491010,2021-08-03 05:00:00
145.1,147.46,145.01,147.4,4631430,2021-08-04 05:00:00
146.67,150.41,146.3993,150.32,4737513,2021-08-05 05:00:00
148.99,150.19,147.55,149.99,4043474,2021-08-06 05:00:00
148.74,151.0,148.7,149.44,5541924,2021-08-09 05:00:00
149.365,150.76,147.85,147.95,5149830,2021-08-10 05:00:00
147.54,149.2796,145.1576,148.16,6717728,2021-08-11 05:00:00
148.86,151.68,146.55,151.15,8925109,2021-08-12 05:00:00
146.66,152.76,144.51,152.76,16789079,2021-08-13 05:00:00
151.99,152.03,144.9,148.57,7720442,2021-08-16 05:00:00
145.0,148.2,143.58,143.9,7855110,2021-08-17 05:00:00
144.02,148.68,141.7,146.74,5190073,2021-08-18 05:00:00
143.7907,145.28,141.92,142.65,4732393,2021-08-19 05:00:00
142.0,143.949,141.5,143.7,2996182,2021-08-20 05:00:00
144.9,147.6299,144.15,146.79,4727431,2021-08-23 05:00:00
147.0,161.98,146.5,161.42,22096778,2021-08-24 05:00:00
158.764,163.0587,158.0,160.35,7267704,2021-08-25 05:00:00
159.34,159.4999,151.45,152.73,7242951,2021-08-26 05:00:00
152.251,156.44,151.45,154.18,4818820,2021-08-27 05:00:00
154.41,157.49,151.92,156.02,3968745,2021-08-30 05:00:00
155.94,158.15,153.58,154.99,7403951,2021-08-31 05:00:00
154.84,158.64,154.29,156.59,4324746,2021-09-01 05:00:00
156.5,159.4601,156.5,157.2,3302257,2021-09-02 05:00:00
158.05,160.64,157.2,158.0,4460935,2021-09-03 05:00:00
159.72,165.735,159.55,165.0,11017034,2021-09-07 05:00:00
163.23,166.55,161.6,163.93,5866501,2021-09-08 05:00:00
163.0,166.97,160.83,166.0,5935754,2021-09-09 05:00:00
166.95,168.2356,165.01,165.2,3985251,2021-09-10 05:00:00
160.25,162.99,154.79,160.32,7520949,2021-09-13 05:00:00
160.66,164.7,159.41,163.3,4655503,2021-09-14 05:00:00
162.32,166.63,160.49,166.37,5656017,2021-09-15 05:00:00
165.26,169.45,165.04,168.15,6094825,2021-09-16 05:00:00
169.3,170.0,163.61,166.59,20024675,2021-09-17 05:00:00
162.24,166.54,159.445,161.64,6846832,2021-09-20 05:00:00
164.0,170.01,162.96,169.29,8592501,2021-09-21 05:00:00
170.0293,171.81,167.3713,169.96,4353595,2021-09-22 05:00:00
