datetime,volume,close,low,high,open,MA10,MA20,Abs(R),30dayHVSD,30dayHV
11/10/2020,11769185,118.45,117.49,120.49,119.65,,,,,
11/11/2020,7244276,121.26,119.41,121.59,119.65,,,0.0,,
11/12/2020,7177078,120.18,119.615,121.86,121.26,,,0.0,,
11/13/2020,5926508,121.2,119.95,121.45,121.09,,,0.0,,
11/16/2020,7432091,122.37,120.96,122.59,121.21,,,0.0,,
11/17/2020,4969705,121.69,121.172,122.35,121.76,,,0.0,,
11/18/2020,4771764,120.39,120.34,122.06,121.48,,,0.0,,
11/19/2020,6077626,121.36,119.62,121.58,120.15,,,0.0,,
11/20/2020,4958384,120.11,120.07,121.5,121.47,,,0.0,,
11/23/2020,4904344,120.08,119.04,121.27,120.48,120.70899999999999,,0.0,,
11/24/2020,6820664,121.75,119.67,121.985,120.54,121.03899999999999,,0.0,,
11/25/2020,6093186,122.01,121.55,122.52,122.17,121.11399999999999,,0.0,,
11/27/2020,3512927,122.66,122.43,123.18,122.66,121.362,,0.0,,
11/30/2020,16114637,123.48,121.23,123.66,122.62,121.59,,0.0,,
12/01/2020,11332100,125.06,123.98,125.75,124.5,121.859,,0.0,,
12/02/2020,8019437,124.87,123.59,125.01,124.53,122.17699999999999,,0.0,,
12/03/2020,6887703,124.79,124.455,125.63,125.01,122.617,,0.0,,
12/04/2020,5179357,126.04,124.7,126.06,124.97,123.085,,0.0,,
12/07/2020,4452714,126.4,125.89,126.77,126.11,123.71400000000001,,0.0,,
12/08/2020,3943420,126.81,125.739,127.21,126.28,124.38700000000001,122.548,0.0,,
12/09/2020,8635910,124.38,123.95,127.105,126.73,124.65000000000002,122.84450000000001,0.0,,
12/10/2020,4998714,124.56,123.33,125.15,123.62,124.90500000000002,123.0095,0.0,,
12/11/2020,6511630,124.3,122.9,124.3,123.81,125.069,123.21550000000002,0.0,,
12/14/2020,5528014,124.75,124.6,125.87,124.68,125.196,123.39299999999999,0.0,,
12/15/2020,4557288,126.83,125.29,126.83,126.1,125.373,123.61600000000001,0.0,,
12/16/2020,5154629,127.69,126.58,128.14,127.0,125.655,123.91600000000001,0.0,,
12/17/2020,5752497,128.7,128.09,128.98,128.62,126.046,124.3315,0.0,,
12/18/2020,8846673,128.25,127.43,128.91,128.89,126.26700000000001,124.676,0.0,,
12/21/2020,7616125,128.08,125.2,128.14,126.33,126.43499999999999,125.07449999999999,0.0,,
12/22/2020,7167621,129.19,128.2,129.77,128.79,126.673,125.53,0.0,2.976570753111013,47.25
12/23/2020,5650370,128.21,128.02,129.4345,129.34,127.056,125.853,0.0,2.889867057356688,45.88
12/24/2020,2192320,129.06,128.34,129.38,128.43,127.506,126.2055,0.0,2.9617248973893737,47.02
12/28/2020,4085462,130.52,129.73,130.78,130.34,128.128,126.59849999999999,0.0,3.041236307139267,48.28
12/29/2020,4420699,129.9,129.67,131.4,131.23,128.643,126.9195,0.0,3.095208922813142,49.13
12/30/2020,4070885,129.83,129.64,130.62,130.35,128.943,127.15799999999999,0.0,3.1636546776695225,50.22
12/31/2020,5529167,130.02,128.97,130.39,129.89,129.176,127.4155,0.0,3.192981455428869,50.69
01/04/2021,10508554,127.9,126.24,130.71,130.68,129.096,127.571,0.0,3.0562727845094813,48.52
01/05/2021,6180747,128.73,127.53,128.94,127.61,129.144,127.7055,0.0,2.972170614369157,47.18
01/06/2021,13629000,126.51,126.12,128.98,126.89,128.98700000000002,127.71099999999998,0.0,2.743434461341868,43.55
01/07/2021,9825978,129.92,127.68,130.17,127.73,129.06,127.8665,0.0,2.545495457948561,40.41
01/08/2021,6193811,130.76,129.28,131.11,130.56,129.315,128.1855,0.0,2.470947256585528,39.23
01/11/2021,8928693,129.68,129.14,130.6,129.49,129.377,128.4415,0.0,2.328798614845367,36.97
01/12/2021,8544586,129.06,127.83,129.69,129.52,129.231,128.6795,0.0,2.1810810353488854,34.62
01/13/2021,6802582,129.88,128.98,130.28,129.23,129.22899999999998,128.936,0.0,2.0877490490846746,33.14
01/14/2021,7812365,128.74,128.55,130.47,130.2,129.12,129.0315,0.0,2.0353876187646986,32.31
01/15/2021,6320564,127.42,127.16,129.12,128.55,128.86,129.01799999999997,0.0,1.960144523172738,31.12
01/19/2021,5784771,129.08,127.85,129.3,128.3,128.978,129.03699999999998,0.0,1.8805300059951775,29.85
01/20/2021,5885017,131.64,129.89,132.1,130.0701,129.269,129.2065,0.0,1.9517460499967998,30.98
01/21/2021,4474102,133.34,131.64,133.78,132.35,129.952,129.46949999999998,0.0,2.130841504486277,33.83
01/22/2021,5621759,132.83,132.51,133.5,132.78,130.243,129.6515,0.0,2.2503987896912077,35.72
01/25/2021,9102612,133.94,130.7,134.79,134.33,130.561,129.93800000000002,0.0,2.2999519235355104,36.51
01/26/2021,4296729,134.03,133.52,134.62,134.41,130.996,130.1865,0.0,2.322534510340833,36.87
01/27/2021,12242268,131.5,130.31,133.82,133.39,131.24,130.2355,0.0,2.1547352025489004,34.21
01/28/2021,8090826,132.04,131.72,134.24,132.17,131.456,130.3425,0.0,2.0024133714957153,31.79
01/29/2021,9511805,128.93,128.2294,131.9,131.38,131.475,130.29749999999999,0.0,1.9313200774028427,30.66
02/01/2021,5616337,132.16,129.5,132.8,130.46,131.949,130.4045,0.0,1.9316791873286412,30.66
02/02/2021,4297696,133.95,133.25,134.34,133.44,132.43599999999998,130.707,0.0,2.044811769433513,32.46
02/03/2021,5787414,133.49,133.09,134.5,134.22,132.62099999999998,130.945,0.0,2.0982517079428495,33.31
02/04/2021,4067118,135.62,133.825,135.62,134.21,132.849,131.40050000000002,0.0,2.2627609013220455,35.92
02/05/2021,4706874,135.32,134.93,136.05,136.03,133.098,131.6705,0.0,2.403799411181273,38.16
02/08/2021,5856858,136.74,135.68,136.8,135.87,133.378,131.96949999999998,0.0,2.584527881028976,41.03
02/09/2021,5276284,136.58,136.3392,137.23,136.38,133.63299999999998,132.3145,0.0,2.741306928849991,43.52
02/10/2021,4732228,136.38,135.22,137.3,137.13,134.121,132.6805,0.0,2.8861583264016413,45.82
02/11/2021,3782861,137.88,136.77,137.97,137.3,134.705,133.0805,0.0,3.0911423324622707,49.07
02/12/2021,3377754,138.59,137.14,138.68,137.52,135.671,133.57299999999998,0.0,3.3052901519391327,52.47
02/16/2021,4861056,138.14,137.78,139.24,139.14,136.26899999999998,134.109,0.0,3.4589453578375324,54.91
02/17/2021,7637678,136.92,135.54,137.22,136.87,136.566,134.50100000000003,0.0,3.4499715141252887,54.77
02/18/2021,5478031,136.25,134.53,136.48,135.5,136.842,134.7315,0.0,3.4277014851448855,54.41
02/19/2021,5843082,136.05,135.44,137.07,136.95,136.885,134.86700000000002,0.0,3.2514089607253585,51.61
02/22/2021,7131326,133.05,132.97,134.82,134.38,136.658,134.878,0.0,3.1912392469124877,50.66
02/23/2021,12099230,132.68,128.61,133.5,130.84,136.252,134.815,0.0,3.1569268666504477,50.11
02/24/2021,8236124,134.71,130.68,134.83,131.69,136.065,134.849,0.0,3.0854717778573413,48.98
02/25/2021,17156872,130.0,129.42,134.4,133.51,135.427,134.774,0.0,3.042624320980297,48.3
02/26/2021,17755942,130.69,129.53,132.7,131.29,134.708,134.7065,0.0,3.0119510803372873,47.81
03/01/2021,12387609,134.9,132.0701,134.98,132.91,134.339,135.005,0.0,2.8744163825427296,45.63
03/02/2021,12401434,132.76,132.565,135.18,135.09,133.80100000000002,135.035,0.0,2.617776739424397,41.56
03/03/2021,14944752,129.42,129.28,132.5,132.12,133.051,134.8085,0.0,2.59636175596088,41.22
03/04/2021,38477759,126.56,124.96,129.96,129.02,132.082,134.462,0.0,2.904188513085951,46.1
03/05/2021,23042887,128.95,124.71,129.31,128.14,131.372,134.1285,0.0,3.038192974734206,48.23
03/08/2021,17621212,125.83,125.7,129.45,128.83,130.65,133.654,0.0,3.359302814915466,53.33
03/09/2021,11493641,130.11,128.6,130.91,128.77,130.393,133.3225,0.0,3.4131190609379622,54.18
03/10/2021,9229490,129.59,129.49,131.53,131.51,129.881,132.973,0.0,3.4778621554647455,55.21
03/11/2021,6681427,132.36,131.26,133.1793,131.54,130.11700000000002,132.772,0.0,3.46695343088916,55.04
03/12/2021,6221073,131.41,129.94,131.45,130.78,130.189,132.4485,0.0,3.4762533669547824,55.18
03/15/2021,8294043,132.81,130.985,132.89,131.51,129.98,132.1595,0.0,3.3828064251956445,53.7
03/16/2021,6553407,133.81,133.24,135.09,133.83,130.08499999999998,131.94299999999998,0.0,3.3765354106406846,53.6
03/17/2021,9683241,133.7,131.7201,134.5,132.73,130.513,131.78199999999998,0.0,3.3754012107205043,53.58
03/18/2021,8792426,129.99,129.83,132.095,131.87,130.85600000000002,131.469,0.0,3.4313714961845347,54.47
03/19/2021,13612610,129.6,128.98,130.59,130.02,130.921,131.1465,0.0,3.4644648622275414,55.0
03/22/2021,7992088,131.87,129.81,132.51,130.02,131.52500000000003,131.0875,0.0,3.444036007795012,54.67
03/23/2021,6464580,131.05,130.7,132.81,132.23,131.619,131.006,0.0,3.383949674906371,53.72
03/24/2021,7104975,129.46,129.44,131.8638,131.84,131.60600000000002,130.74349999999998,0.0,3.35597350420405,53.27
03/25/2021,11286833,129.38,127.72,129.96,128.69,131.308,130.7125,0.0,3.3213183921552947,52.72
03/26/2021,7441586,132.67,129.26,132.81,129.31,131.43400000000003,130.8115,0.0,3.1504378276276443,50.01
03/29/2021,8658866,131.98,130.98,132.64,132.27,131.351,130.6655,0.0,2.9030720945589596,46.08
